,TD,MD,ED,NE,DA,MA,TA,,
SAI1,0,0,5,1,3,0,0,,
SAI2,0,0,1,2,2,2,2,,
SAI3,0,0,4,1,2,2,0,,TD=TOTALMENTE EN DESACUERDO
SAI4,0,0,1,2,1,1,4,,MD= MUY EN DESACUERDO
SAI5,1,0,2,1,3,2,0,,ED= EN DESACUERDO
SAO1,2,1,4,0,2,0,0,,NE= NEUTRO
SAO2,1,1,6,0,1,0,0,,DA= DE ACUERDO
SAO3,0,4,4,0,1,0,0,,MA= MUY DE ACUERDO
SAO4,0,0,1,1,4,1,2,,TA= TOTALMENTE DE ACUERDO
EI1,0,0,5,0,4,0,0,,
EI2,6,1,1,0,1,0,0,,
EI3,0,2,3,0,2,2,0,,
EC1,6,1,2,0,0,0,0,,
EC2,4,4,1,0,0,0,0,,
EC3,4,4,1,0,0,0,0,,
EC4,5,2,2,0,0,0,0,,
OEO1,3,0,3,2,1,0,0,,
OEO2,6,1,1,0,1,0,0,,
OEO3,3,1,5,0,0,0,0,,
OEO4,1,0,1,2,4,1,0,,
OEO5,5,1,3,0,0,0,0,,
OEO6,5,0,2,0,2,0,0,,
OED1,0,0,0,1,6,2,0,,
OED2,0,1,1,2,3,1,1,,
OED3,5,1,3,0,0,0,0,,
OED4,0,1,0,2,6,0,0,,
OED5,0,0,1,1,3,1,3,,
